Номенклатура;КодНоменклатуры;Склад;Количество;Сумма
Башмак косилки внутренний (большой) /Россия/;001004     ;Склад бр Оберемко В.;4;15764.87
Кольца поршневые Т-40 105 мм. 2-масл-х (Украина);001251     ;Склад бр Оберемко В.;25;136372.5
Форсунка СМД-17/18/21/22 (Украина);001279     ;Склад бр Оберемко В.;6;19484.56
РВД  ключ 32  L=0,8 м. (г.Курск);001398     ;Склад бр Оберемко В.;1;961.33
РВД  ключ 32  L=1,4 м. (г.Курск);001399     ;Склад бр Оберемко В.;1;1163.38
Прокладка ГБЦ ЯМЗ-238 нов/обр. (ОАО Автодизель-ЯМЗ);001483     ;Склад бр Оберемко В.;2;3868.25
Масло Лукойл дизель М-8ДМ (5 литров);015180     ;Склад бр Оберемко В.;1;2098.21
Прокладка выпуск. коллектора ЯМЗ-236/238 (облицов.);001653     ;Склад бр Оберемко В.;8;677.35
Корпус дифференциала главной передачи (чаша + ступица +муфта) К-700/701/744;001676     ;Склад бр Оберемко В.;1;130095
Гидроусилитель руля Т-40;001916     ;Склад бр Оберемко В.;1;44008.66
Крышка маслозаливной горл. ЯМЗ-236/238/240 (ОАО Автодизель-ЯМЗ)            ;001948     ;Склад бр Оберемко В.;1;298.45
Головка блока ЯМЗ-238 стар. обр. (Р);001987     ;Склад бр Оберемко В.;4;240757.19
Привод вентилятора 3-х руч. МАЗ (ЯМЗ238-Д1) нов. обр. с принудит. смазкой (ЯЗТО);002087     ;Склад бр Оберемко В.;1;16367.95
Сальник 70х95 2-х бортн. ДТ-75;002113     ;Склад бр Оберемко В.;4;299.6
Хвостовик ВОМ 8 шлиц МТЗ нов. обр. (Бобруйск) ;002191     ;Склад бр Оберемко В.;1;2065
Диск нажимной сцепления нов. обр. (Бобруйск);002201     ;Склад бр Оберемко В.;1;4576.22
Фильтр топливный ЯМЗ (металл. корпус с резьбой) 7511.1117075 (ОАО Автодизель-ЯМЗ);002367     ;Склад бр Оберемко В.;2;5120.61
Шланг манометра давл. масла 1м. (Балаково);002496     ;Склад бр Оберемко В.;2;1466.97
Регулятор напряжения трактора 14в (Энергомаш) ;002505     ;Склад бр Оберемко В.;2;1509.82
Нож сенокосилки (коса) 2,1м. с зубч. сегментом. /Россия, А/;002645     ;Склад бр Оберемко В.;1;3071.39
Механизм привода ножа Шумахер Вектор/Акрос (85MVvGKF RS20) (Симферополь);002655     ;Склад бр Оберемко В.;1;203544.13
Гидроцилиндр вариат-ра гл контпривода (ГА 76020А с юб.) Енисей/Нива;002717     ;Склад бр Оберемко В.;1;7504.82
Головка блока А-41 в сб. с клапанами.;002786     ;Склад бр Оберемко В.;1;79230.5
Кольца поршневые ЯМЗ-7511 (ОАО Автодизель-ЯМЗ);002912     ;Склад бр Оберемко В.;1;2839.76
Диск нажимной тормозной МТЗ-80/1221/900 нов. обр. (Витебск);003061     ;Склад бр Оберемко В.;1;2740.87
Кольцо резин. У-30х25-3;003121     ;Склад бр Оберемко В.;5;63.13
ГУРа Т-40 (РЕМ. К-Т.)(РУСЬ);003189     ;Склад бр Оберемко В.;1;293.74
Упор вогнутый (плоский) БДТ-3-5-7.;011463     ;Склад бр Оберемко В.;1;1259.74
Шпилька крепления НШ-71/100 к РПН К-700/701;00000070144;Склад бр Оберемко В.;24;565.48
Форсунка МТЗ Д-240 (Украина);004065     ;Склад бр Оберемко В.;18;76051.94
Распределитель с редуктором (ГУР) К-700/701 (НОВЫЙ);004074     ;Склад бр Оберемко В.;1;106990.37
Бак радиатора нижний К-744Р1 (238НД3/5) h=108 (СПГ);004107     ;Склад бр Оберемко В.;6;60185.61
Гайка М12;004117     ;Склад бр Оберемко В.;0.5;301.34
Уплотнит-х колец фланца НШ-100 (К-700А/701) (РЕМ. К-Т.)(РУСЬ);004665     ;Склад бр Оберемко В.;1;95.42
Уплотнит. колец стакана форсунки ЯМЗ-240 (РЕМ. К-Т.)(РУСЬ);004680     ;Склад бр Оберемко В.;4;283.8
Крыльчатка вентилятора ЯМЗ-238НБ/НД3/7511d=660мм d=50мм (пластик 9 лопастей) (Руслан);004987     ;Склад бр Оберемко В.;5;36083.3
Насос-дозатор МТЗ-80/82/1221 (Республика Беларусь);005357     ;Склад бр Оберемко В.;1;27500.41
