Номенклатура;КодНоменклатуры;Склад;Количество;Сумма
Сателлит ВОМ МТЗ-80/82 (Тара);00000001640;Cклад Петропавловск;4;4116.11
Звено переходное цепи ш.15,875 /Россия/;00000001641;Cклад Петропавловск;21;2569.15
Кожкартон МПЦК 1,75мм. (1500х1000);011675     ;Cклад Петропавловск;10;23159.6
Звено соединительное цепи ш.15,875 /Россия/;00000001660;Cклад Петропавловск;33;2131.42
Гайка крепления ГБЦ Д-442;00000001675;Cклад Петропавловск;1;58.04
Шпилька ГБЦ Д440;00000001697;Cклад Петропавловск;3;410.83
Патрубок вентиляции картера ЯМЗ-240 (рез.) (ОАО Автодизель-ЯМЗ);00000001702;Cклад Петропавловск;1;56.35
Транспортер наклонной камеры Енисей/Нива УСИЛЕННЫЙ на заклепках, планка 4мм (Россия);008568     ;Cклад Петропавловск;2;78242
Распылитель Д-245 Бычок (ОАО ЯЗДА);008569     ;Cклад Петропавловск;8;5761.96
Муфта высев. аппарата СТС/СЗС;008572     ;Cклад Петропавловск;5;1116.07
Ось сателита ПВМ МТЗ-1221 (ОАО МТЗ);008580     ;Cклад Петропавловск;2;1731.79
Крестовина рулевого кардана в сборе МТЗ (РЗКВ);009868     ;Cклад Петропавловск;6;5138.83
Блок цилиндров  двигателя ЯМЗ 238 н.о. (ОАО Автодизель-ЯМЗ);00000001710;Cклад Петропавловск;2;1077287.18
Втулка межкатковая со звёздочкой (СТС/СЗС) ;00000001718;Cклад Петропавловск;9;13660.89
Гайка заднего колеса МТЗ 36-3104019;00000001724;Cклад Петропавловск;7;508
Втулка клапана направляющая А-41/01/440 448-0603;00000001753;Cклад Петропавловск;7;5763.45
"Распылитель Д-240 МТЗ (АЗПИ) ""50"" ";00000001770;Cклад Петропавловск;32;29939.82
"Распылитель Т-4, ДТ-75  (АЗПИ) ""4х0,32""";00000001771;Cклад Петропавловск;26;21431.33
Датчик давления масла КАМАЗ;00000001787;Cклад Петропавловск;1;763.39
Вкладыши  коренные ЯМЗ-236 (Н) Дим-д.;00000001795;Cклад Петропавловск;2;10824.99
Стартер МТЗ редукторный 12v (Самара);008706     ;Cклад Петропавловск;1;31244.94
Электродвигатель отопителя К-700/701 12V;00000001857;Cклад Петропавловск;1;6863.7
Патрубок водяного насоса ЯМЗ-240 240-1307085 (ОАО Автодизель-ЯМЗ) ;00000001860;Cклад Петропавловск;1;4024.41
Втулка шлицевая упр-я муфтами КПП К-700/701 700.17.01.297;00000001870;Cклад Петропавловск;1;866.12
Втулка тормозной колодки К-700/701 700.23.00.083-2;00000001887;Cклад Петропавловск;3;1681.8
Фильтр-сетка гидробака/топливного бака К-700/701 700А.46.14.210;00000001890;Cклад Петропавловск;3;2109.08
Рычаг вилки разд-ного вала  КПП К-700/701 700.17.01.338;00000001907;Cклад Петропавловск;1;1668.72
Кольцо ведущего вала КПП К-700/701 700.17.01.029-3;00000001913;Cклад Петропавловск;5;5953.59
Кольцо ведущего вала КПП К-700/701 700А.17.01.361-6;00000001916;Cклад Петропавловск;7;6350.55
Кольцо ведущего вала КПП К-700/701 700А.17.01.399;00000001917;Cклад Петропавловск;5;444.4
Предохранитель ПВ-10 (К-700/701);00000001920;Cклад Петропавловск;21;8092.39
Предохранитель ПВ-20 (К-700/701);00000001921;Cклад Петропавловск;26;10267.51
Предохранитель ПВ-60 (К-700/701);00000001922;Cклад Петропавловск;9;3851.68
Обойма (скоба крепления накл. камеры к комбайну) Дон/Вектор/Палессе (Ростсельмаш);014001     ;Cклад Петропавловск;1;4620.97
Механизм продольного копирования Палессе-1218/Еssil-760 (Гомсельмаш);011551     ;Cклад Петропавловск;1;158077.74
Воздухоочиститель К-744Р1/2/3/4 в сборе с циклоном и элементами.;011559     ;Cклад Петропавловск;1;97795.45
Трос управления подачей топлива МТЗ 1221( L=1540) (РБ);011561     ;Cклад Петропавловск;2;5583.95
Опора механизма перекл-ния КПП МТЗ н.о. с боковым переключ. (ОАО МТЗ);011578     ;Cклад Петропавловск;1;9814.79
Моторедуктор переднего стеклоочистителя МТЗ УК;011587     ;Cклад Петропавловск;1;8437.5
Валик переключения скорости ВОМ МТЗ-80/82 70-1601140 (К);011597     ;Cклад Петропавловск;1;526.79
Стекло большой кабины боковое МТЗ (868х779) с 3 отв.;011601     ;Cклад Петропавловск;5;9672.32
Диск ведомый главной муфты сцепления Т-40 (Тара);00000001942;Cклад Петропавловск;2;7015.64
Шестерня полуосевая заднего моста МТЗ  50-2403048 (МЗШ);00000001946;Cклад Петропавловск;1;5061.58
Уплотнение двери К-700/701 (к-т на трактор);012361     ;Cклад Петропавловск;4;12718.48
Поршнекомплект МТЗ, ЮМЗ (Конотоп) (Г+П+УК)(2-масл.);008511     ;Cклад Петропавловск;8;42523.15
Лемех плужный Алмаз Стандарт 11мм (Рубцовск);007682     ;Cклад Петропавловск;85;177112.12
Литол-24 (банка) 2кг;00000005292;Cклад Петропавловск;3;4553.57
Фланец редуктора конечной передачи моста переднего МТЗ-1221 (ОАО МЗШ);011944     ;Cклад Петропавловск;2;72865.23
Кольца поршневые СМД-20 120,0 мм. (Кострома);009000     ;Cклад Петропавловск;1;7386.92
Шпилька колеса увеличенная К-700/701/744Р М22х1,5;007580     ;Cклад Петропавловск;9;2071.81
Шпилька ГБЦ ЯМЗ ф16мм. нов.обр.(205 мм) (ОАО Автодизель-ЯМЗ);00000006375;Cклад Петропавловск;12;10509.73
Рамка прикатывающих катков СТС;00000006440;Cклад Петропавловск;5;128192.97
Клапан дифференциальный (масл. насоса) ЯМЗ (ОАО Автодизель-ЯМЗ);00000006444;Cклад Петропавловск;3;14765.16
Диск колеса СЗС, сельхозорудия. (Бобруйск);00000006449;Cклад Петропавловск;8;55549.39
Лонжерон МТЗ левый (Ромны);00000006486;Cклад Петропавловск;1;10218.53
Прокладок двигателя Д-240 МТЗ  (РЕМ. К-Т.)(РУСЬ);00000006495;Cклад Петропавловск;6;13788.51
Прокладка крышки клапанов ЯМЗ-236;00000006497;Cклад Петропавловск;14;2376.15
Реле втягив-е стартера КАМАЗ СТ-142Б2 (БАТЭ);00000006508;Cклад Петропавловск;2;26365.56
Втулка высев. аппарата СТС/СЗС (мет. с квадратом) 12мм;00000006510;Cклад Петропавловск;15;6775.81
Вал ступицы СТС/СЗС ;00000006531;Cклад Петропавловск;3;3957.74
Привод вентилятора 2-х руч. 238НД3 (принудит.смазка) (ЯЗТО);00000006540;Cклад Петропавловск;1;14439.34
Трубка смазки привода вентилятора ЯМЗ-238НД3/5/Б/Д н/обр. (ОАО Автодизель-ЯМЗ)   ;00000006541;Cклад Петропавловск;2;3201.69
Фильтр воздушный К-744 (кассета, к-т 2 шт) (Специалист)(Кострома);00000006561;Cклад Петропавловск;3;15377.65
Фильтр топливный тонкой очистки ЯМЗ (опилки, упаковка 54шт.)(Кострома);00000006566;Cклад Петропавловск;19;3885.23
Сальник 85х110  коленвала Т-40 однобортный;007347     ;Cклад Петропавловск;16;762.06
Форсунка Д-442/448 с инд. ГБЦ (АЗПИ) под 204. расп.;006018     ;Cклад Петропавловск;3;22597.62
Фара задняя тракт. лампочка R2, 12В,цоколь Р45t-41(пластм.) (Руслан);00000006589;Cклад Петропавловск;24;17062.08
РТИ двигателя ЯМЗ-238 (РЕМ. К-Т.) (РУСЬ);009572     ;Cклад Петропавловск;4;8000.4
Реле втягив-е стартера МТЗ/Т-40 СТ-212 (Самара) 24.3708.800;00000006639;Cклад Петропавловск;1;6021.13
ТНВД Д-240 МТЗ-80/82 (НЗТА) 4УТНМ-1111005-20 с.о. (Ногинск);00000006641;Cклад Петропавловск;1;136607.15
Палец поршневой Д-144 Т-40 (Украина);00000006650;Cклад Петропавловск;5;1694.99
Крестовина кардана жатки Енисей/Нива (К);011424     ;Cклад Петропавловск;18;15910.71
Привод стартера с редуктором МТЗ, Т-40 (бендикс)(ООО ПРАМО);00000006680;Cклад Петропавловск;1;3883.36
Привод стартера МТЗ 4-х шлиц. (бендикс)(аналог СТ212-3708600)(КЗАТЭ Самара) ;00000006684;Cклад Петропавловск;2;3655.18
Реле стартера металл. РС 502 12В (ГАЗ, К-700);00000006704;Cклад Петропавловск;6;2002.46
"Распылитель Д-144 Т-40 (АЗПИ) ""16""";00000006709;Cклад Петропавловск;10;9136.94
Пара плунжерная МТЗ У16с15 (АЗТН) ;00000006716;Cклад Петропавловск;9;9258.18
Башмак (стрела) культиватора КПГ, ПГ-3-5 (Рубцовск);010889     ;Cклад Петропавловск;9;189212.83
Шайба медная 20*26*1,5;00000006744;Cклад Петропавловск;10;294.64
Шайба медная 22*28*1,5;00000006745;Cклад Петропавловск;77;2879.06
Шайба медная 24*32*1,5;00000006746;Cклад Петропавловск;59;2211.66
Генератор Г968.3701 СМД-14/22 14В, 1000Вт. (Гродно);00000006757;Cклад Петропавловск;4;62000.79
Палец стогомёта (изогнутый) /Россия/;00000006810;Cклад Петропавловск;23;110251.78
Прокладка поддона А-01 (резинопробка);00000006831;Cклад Петропавловск;5;1370.64
Шланг манометра давл. масла 2,7м. (Балаково);00000006845;Cклад Петропавловск;10;9615.41
Вал коленчатый соломотряса ведущий в сб. Палессе-1218/Еssil-760 (Гомсельмаш);010302     ;Cклад Петропавловск;1;132822.04
Генератор Енисей, Нива с Д-442, Т-4.02 14В 1000 Вт. (Гродно);00000006882;Cклад Петропавловск;3;43761.04
Гидроцил-ра ЦС-100 стар.обр. (РЕМ. К-Т.)(РУСЬ);00000006885;Cклад Петропавловск;11;1283.68
Палец стогомёта (прямой) /Россия/;00000006887;Cклад Петропавловск;21;97741.28
Распылитель ЯМЗ-236/238/240 (026) (ОАО ЯЗДА);008451     ;Cклад Петропавловск;36;29711.7
Трубка отводящая топливная(от ТННД до ФТОТ) (ОАО Автодизель-ЯМЗ);008455     ;Cклад Петропавловск;1;1675.86
Трубка подвода топлива от ФТОТ к ТНВД ЯМЗ (ОАО Автодизель-ЯМЗ);008456     ;Cклад Петропавловск;1;1398.38
Трубка топливная ЯМЗ-238 (ОАО Автодизель-ЯМЗ);008457     ;Cклад Петропавловск;2;5474.13
Трубка топливная ЯМЗ-240 (ОАО Автодизель-ЯМЗ);008458     ;Cклад Петропавловск;1;1446.56
Термостат ЯМЗ, КАМАЗ, ГАЗ 82град. 8.8831 (ОАО Автодизель-ЯМЗ) ;008469     ;Cклад Петропавловск;6;8217.4
Шатун сенокосилки нов. обр. (без подшипника) (К);00000006900;Cклад Петропавловск;4;11214.29
Шкив ведущий сенокосилки (большой, 255мм) 2-х руч. левая резьба /Россия/;00000006901;Cклад Петропавловск;1;6028
Редуктор переднего моста левый в сборе МТЗ-82 (5 шп) (ОАО МТЗ);00000006902;Cклад Петропавловск;1;222690.11
"Шнек выгрузной (6м.) ""Енисей"" /Россия/";00000006910;Cклад Петропавловск;1;33070.27
Нож режущего аппарата (7м) Дон-1500Б, Вектор (сегмент снизу) /Россия/;00000006913;Cклад Петропавловск;3;43103.17
Нож барабана измельчителя Енисей, Руслан /Россия/;00000006918;Cклад Петропавловск;156;60756.06
Рычаг блока уравновешивающего Енисей Красноярск;00000006919;Cклад Петропавловск;2;16972.34
Рычаг оттяжной муфты хода Енисей/Нива (голый) /СССР/;00000006920;Cклад Петропавловск;15;6693.65
Звёздочка контпривода жатки Дон/Вектор Z=18, t=19.05 /Украина/;00000006935;Cклад Петропавловск;1;1484.27
Шкив вариатора жатки нижний Дон, Вектор (РСМ 10.08.01.430) /Украина/;00000006936;Cклад Петропавловск;1;25655.43
Рычаг МКШ (головка) под ШС Дон-1500Б, Вектор;00000006940;Cклад Петропавловск;5;6139.26
Серьга ЖХН-03.405А ДОН, Вектор ;00000006941;Cклад Петропавловск;6;1865.73
Прижим ножа высокий Дон, Вектор;00000006942;Cклад Петропавловск;8;948.12
Прижим 3518050-121020 (Ростсельмаш );00000006943;Cклад Петропавловск;9;5195.32
Муфта шлицевая разрезная 3518020-46075;00000006946;Cклад Петропавловск;3;6333.66
Прижим ножа низкий Дон, Вектор ;00000006951;Cклад Петропавловск;20;2459.83
Втулка цапфы металл. (большая) МТЗ (70-3001021А) (Ромны);00000006953;Cклад Петропавловск;1;836.5
Подушка верхняя кабины МТЗ-80/82;00000006955;Cклад Петропавловск;7;2830.53
Подушка нижняя кабины МТЗ-80/82 (Руслан);00000006956;Cклад Петропавловск;8;2462.1
Фильтр (леска) КВ-1 МТЗ-80/82;00000006958;Cклад Петропавловск;14;12374.48
Болт головки блока длинн. Д-240 МТЗ (ОАО ММЗ) г.Минск;00000006959;Cклад Петропавловск;10;3970.96
Болт головки блока короткий Д-240 МТЗ (ОАО ММЗ) г.Минск;00000006960;Cклад Петропавловск;10;1807.29
Болт штуцера обратки МТЗ Д=10 (Руслан);00000006962;Cклад Петропавловск;7;408.34
Стакан промежуточного вала МТЗ 50-1701195;00000006963;Cклад Петропавловск;2;5283.56
Крыльчатка промежуточного вала МТЗ 50-1701401 (ОАО МТЗ);00000006964;Cклад Петропавловск;1;170.17
Крышка переднего моста МТЗ-82 (ОАО МТЗ);00000006967;Cклад Петропавловск;2;2012.8
Крышка нижняя переднего моста МТЗ-82 (ОАО МТЗ);00000006968;Cклад Петропавловск;3;2820.9
Гильза переднего моста МТЗ-82 (ОАО МТЗ);00000006969;Cклад Петропавловск;3;32411.52
Корпус уплотнения гильзы переднего моста МТЗ-82 52-2308101 (ОАО МТЗ);00000006970;Cклад Петропавловск;1;4533.35
Кран сливной ПС-7 (Беларусь);00000006975;Cклад Петропавловск;12;6315.78
Кольцо 2С60 (915210) ГОСТ 13940-86 (ОАО МТЗ);00000006977;Cклад Петропавловск;7;1271.64
Кольцо 2С55 (915209) ГОСТ 13940-86 (ОАО МТЗ);00000006978;Cклад Петропавловск;12;2305.5
Шайба промежуточного вала МТЗ-80/82 (ОАО МТЗ);00000006979;Cклад Петропавловск;1;604.06
Шестерня привода ВОМ (2 ступень) МТЗ 70-1601086-Б Z=39 (МЗШ);00000006980;Cклад Петропавловск;1;7716.34
Гнездо редуктора пониж. МТЗ 70-1701186 (Тара);00000006981;Cклад Петропавловск;2;9722.85
Пластина валика муфты сцепления МТЗ-80/82 (ОАО МТЗ);00000006983;Cклад Петропавловск;15;1233.27
Вилка переключения управления пониж. редуктором МТЗ  80-1723021(Витебск);00000006984;Cклад Петропавловск;1;1297.42
Долото плоскореза ПГ-3-5 (3 отвер.) Рубцовск ;00000006997;Cклад Петропавловск;30;57041.95
"Распылитель ЮМЗ Д-65 (АЗПИ) ""40""";00000006998;Cклад Петропавловск;13;10650.13
Пара плунжерная Д-442/461 (АЗТН);00000006999;Cклад Петропавловск;8;14285.71
Шестерня конич. редуктора ЖВН-6А (малая);00000007010;Cклад Петропавловск;3;3910
Прокладка ГБЦ ЯМЗ-240НМ (для индив.ГБЦ) стальная (ОАО Автодизель-ЯМЗ);00000007012;Cклад Петропавловск;6;3442.62
Палец шнека жатки Енисей/Нива (L=220мм D=14мм) (Украина);00000007013;Cклад Петропавловск;22;2373.67
Болт маховика Д-240 МТЗ (ОАО ММЗ) г.Минск;00000007015;Cклад Петропавловск;14;4313.52
Диск муфты сцепления ведомый Т-16 (Тара);00000007020;Cклад Петропавловск;1;3006.76
Вал привода ВОМ МТЗ (Бобруйск);00000007021;Cклад Петропавловск;2;17505.08
Вал ленты ВОМ нов. обр. МТЗ (Бобруйск);00000007022;Cклад Петропавловск;1;1605.8
Муфта соеденительная кл. 24 МТЗ с гайкой (AGROIMPULS);00000007029;Cклад Петропавловск;12;6286.06
Штуцер переходной кл.27/32 (AGROIMPULS);00000007030;Cклад Петропавловск;16;2230.36
Прокладок ПД-10 (РЕМ. К-Т.)(РУСЬ);00000007031;Cклад Петропавловск;10;1294.35
Гидрораспределителя 3-х секц. Енисей (3РМ50-29) (РЕМ. К-Т.)(РУСЬ);00000007033;Cклад Петропавловск;10;1116.78
Гидрораспределителя 7-ми секц. Енисей (7РМ50-298) (РЕМ. К-Т.)(РУСЬ);00000007035;Cклад Петропавловск;15;6355.85
Клапана предохранительного ГА-33000 Енисей/Нива (РУСЬ) (РЕМ. К-Т.);00000007037;Cклад Петропавловск;11;322.27
Гидропривода тормозов и муфты сцепл. Енисей/Нива (РЕМ. К-Т.);00000007039;Cклад Петропавловск;2;212.36
Прокладок двигателя Д-21 Т-16/Т-25 (РЕМ. К-Т.) (РУСЬ);00000007042;Cклад Петропавловск;5;7286.4
Реле поворотов МТЗ нов. обр. (аналог ЭРП-1);012383     ;Cклад Петропавловск;1;1393.64
Блок вариатора хода Енисей, Нива (Красноярск);00000007055;Cклад Петропавловск;1;34475
Кольца поршневые ЯМЗ 130,0 мм (Кострома);00000007057;Cклад Петропавловск;17;43372.07
Втулка мотовила Енисей ЖКН 0008А;00000007059;Cклад Петропавловск;7;1506.25
4500 Д(Г) Ремень приводной (РСМ 6201353) (Ярославль);00000007076;Cклад Петропавловск;5;19479.01
3750 С(В) Ремень приводной (Ярославль);00000007077;Cклад Петропавловск;5;10988.9
Фильтр масляный Т-150, Енисей, Вектор ГСТ(Реготмас 635-1-06)(Агро)(Кострома);00000007082;Cклад Петропавловск;19;7486.29
Ступица вариатора барабана (молотилки) Нива (Ростсельмаш);014338     ;Cклад Петропавловск;1;9967.69
Транспортер наклонной камеры Енисей/Нива /1122-3420мм/ (Днепропетровск);00000007087;Cклад Петропавловск;46;1183504.1
2120 А Ремень приводной (БЦ);00000007088;Cклад Петропавловск;2;956.43
Щетки стартера МТЗ (конус) (Энергомаш);00000007096;Cклад Петропавловск;1;1160.35
Щетки генератора Г-287 ЯМЗ/ГАЗ в сборе. (Энергомаш);00000007097;Cклад Петропавловск;4;1660.71
Маяк желтый импульсный 24 в.;00000007098;Cклад Петропавловск;5;11135.39
Кольца поршневые Т-40 105 мм. (Кострома);00000007101;Cклад Петропавловск;8;12212.85
"Шкив колосового шнека (2-х руч.) ""Енисей"" Украина";00000007102;Cклад Петропавловск;2;17341.3
Конус вариатора  гл. контрпривода Енисей ;00000007105;Cклад Петропавловск;10;20140.58
Паронит  0,8мм. ПОН-Б (1М.*1,5М.);00000007109;Cклад Петропавловск;6;8739.55
Звёздочка натяжная (Z=17, шаг 19,05);00000007112;Cклад Петропавловск;8;12282.44
Муфты сцепления СМД, ДТ (малый) (РЕМ. К-Т.);00000007122;Cклад Петропавловск;4;5723.16
Вод. насоса А-01, А-41 н.о.(вал, подш., крыльч) (РЕМ. К-Т.)(РУСЬ);00000007123;Cклад Петропавловск;2;3138.81
Сальник 20х42 подвески грохота, ТНВД ЯМЗ 236-1111186А3 ;00000007125;Cклад Петропавловск;9;279.17
Втулка грохота большая Енисей/Нива/Дон/Вектор(см в ремкомплектах РК2632);00000007126;Cклад Петропавловск;1;68.34
"Шнек колосовой ""Енисей"" нов. обр. (шлицевой)";00000007133;Cклад Петропавловск;3;77910.64
Втулка предохранительного устройства Енисей (Красноярск);00000007135;Cклад Петропавловск;5;22688.86
Вод. насоса А-01, А-41 н.о.(вал, подш.) (РЕМ. К-Т.) (РУСЬ);00000007136;Cклад Петропавловск;1;1315.79
Ось коромысла привода ножа Енисей/Нива;00000007141;Cклад Петропавловск;11;5505.69
Устройство предохранительное шнека жатки Нива/Енисей;00000007143;Cклад Петропавловск;1;13904.78
Гидроцил-ра поворота Енисей ГА25000 (с манжетой) (РЕМ. К-Т.)(РУСЬ);00000007144;Cклад Петропавловск;7;602.02
Вод. насоса СМД-14/22, А-41(с манжетами  нов/обр.) (РЕМ. К-Т.)(РУСЬ);00000007145;Cклад Петропавловск;1;148.13
Манжета вала привода ТНВД нов. обр. 30*56 (ОАО Автодизель-ЯМЗ);00000007149;Cклад Петропавловск;9;482.14
Вкладыши  шатунные А-41 (Р1) Тамбов;00000007153;Cклад Петропавловск;4;11613.32
Вод. насоса СМД-14/22 (вал, подш.) нов/о. (РЕМ. К-Т.)(РУСЬ);00000007155;Cклад Петропавловск;3;3542.72
Вкладыши  коренные Д-440 (Р1) Тамбов;00000007159;Cклад Петропавловск;3;23517.37
Генератор МТЗ (Д-243,245) 14В, 1000Вт. с выводом 12-24В (Гродно);00000007160;Cклад Петропавловск;2;28495.93
РВД  ключ 27  L=1,0 м. (Гидросила);00000007173;Cклад Петропавловск;2;1062.5
РВД  ключ 32  L=1,0 м. (Гидросила);00000007175;Cклад Петропавловск;22;28835.71
Прокладка ГБЦ Д-440/442/448 (индив.);00000007177;Cклад Петропавловск;17;6781.05
Вал коленчатый ЯМЗ-238 без вкл. азотированный (ОАО Автодизель-ЯМЗ);009412     ;Cклад Петропавловск;3;1197286.79
Вкладыши  шатунные СМД-14-22 (Р3) ЗМЗ;00000007182;Cклад Петропавловск;1;1996.61
Втулка вариатора барабана большая Енисей/Нива 54-00229;00000007186;Cклад Петропавловск;1;806.52
Кронштейн крепления кабины лев. МТЗ 80-6702068 (Витебск);00000007189;Cклад Петропавловск;1;2645.68
Кронштейн крепления кабины прав. МТЗ 80-6702069 (Витебск);00000007190;Cклад Петропавловск;2;5100.59
Насос масляный Д-245 32 зуба (Бычок, МТЗ 100) (Борисов);00000007193;Cклад Петропавловск;1;7417.71
Гидроцил-ра подъема рамы КУН-10 (РЕМ. К-Т.) (РУСЬ);00000007196;Cклад Петропавловск;3;572.96
Гидроцил-ра подъема рамы СНУ-0,8 (РЕМ. К-Т.)(РУСЬ);00000007198;Cклад Петропавловск;3;338.18
Гидроцил-ра управления вилами КУН-10 (РЕМ. К-Т.)(РУСЬ);00000007199;Cклад Петропавловск;5;1346.06
Гидроцил-ра управ-ния вилами н.о. полиуретан. КУН-10 (РЕМ. К-Т.)(РУСЬ);00000007200;Cклад Петропавловск;2;1369.06
Гидроцил-ра управления вилами (новый) КУН-0,8 (РЕМ. К-Т.)(РУСЬ);00000007201;Cклад Петропавловск;5;618.46
Диск сцепления СМД 14/20 м/молот без пруж. (Тара);00000007202;Cклад Петропавловск;3;12318.07
Вод. насоса МТЗ Д-240 (полный) + крыльч.нов. обр. (РЕМ. К-Т.)(РУСЬ);00000007204;Cклад Петропавловск;2;2618.43
Вал верхний зернового элеватора Енисей ;00000007207;Cклад Петропавловск;6;7758.4
Барабан домолота Енисей нов.обр. (гребенка);00000007210;Cклад Петропавловск;1;31246.62
Редуктор переднего моста правый в сборе МТЗ-82 (5 шп) (ОАО МТЗ);00000007211;Cклад Петропавловск;1;136533.63
Стекло малой кабины задн./передн. МТЗ 70-6700012;00000007214;Cклад Петропавловск;5;8132.93
"Шланг манометра давл. масла 2,7м. (усиленный) ""Балаково""";00000007218;Cклад Петропавловск;5;11477.68
305А Подшипник (ПАО Автодизель-ЯМЗ);011414     ;Cклад Петропавловск;19;8998.65
Вкладыши  шатунные Д-50,240 (Н1) МТЗ-80 (ЗМЗ);00000007226;Cклад Петропавловск;11;16632.41
Гидронасос НШ-32Д3-Л (плоский левый) (Винница);00000007232;Cклад Петропавловск;1;6379.46
Пружина (палец) подборщика Metal Fach Z-562 Польша;010478     ;Cклад Петропавловск;56;13432.4
Кольца поршневые СМД-20 /2 масл-х/ (Кострома);009202     ;Cклад Петропавловск;11;113131.68
РВД  ключ 24  L=0,8 м. (г.Курск);008068     ;Cклад Петропавловск;14;9700.71
Головка блока ЯМЗ-238 нов. обр. в сборе (ОАО Автодизель-ЯМЗ);008791     ;Cклад Петропавловск;2;324712.51
Прокладка ГБЦ ЯМЗ-240 (для индив.ГБЦ) резин. (ОАО Автодизель-ЯМЗ) ;008030     ;Cклад Петропавловск;11;16784.52
Муфта разрывная кл. 24 МТЗ (AGROIMPULS) нов. обр. универсал;008009     ;Cклад Петропавловск;13;21372.2
Трубка дренажная ЯМЗ-238 (ОАО Автодизель-ЯМЗ)   ;008024     ;Cклад Петропавловск;2;6403
Лента подборщика Дон, Акрос, Вектор 3,4м (сплошная);012142     ;Cклад Петропавловск;4;377476.7
3150 В(Б) Ремень приводной (Ярославль);007493     ;Cклад Петропавловск;11;13597.36
Втулка высев. аппарата СТС/СЗС (полиамид)( г.Омск);007277     ;Cклад Петропавловск;101;4780.01
Ступица колеса сеялки в сборе СТС/СЗС без шпилек;007278     ;Cклад Петропавловск;12;160074.33
"Лапа СКП ""Омичка"" 270мм. (Рубцовск) некрашеная";007280     ;Cклад Петропавловск;9;3083.77
Аппарат высевающий (стальн. катушка) в сборе (СТС/СКП) г.Омск Д;007287     ;Cклад Петропавловск;2;51976.76
Крышка подшипника 212 Омичка/СТС/СЗС с отв. (Россия);007289     ;Cклад Петропавловск;35;26380.85
Стойка сеялки СЗС-2,1 стар. обр. (сапожок) под лапу СКП Омичка;007295     ;Cклад Петропавловск;10;14597.79
Соединитель сеялок СЗС-2,1 ст./обр. (ШС-40) со стремянками;007297     ;Cклад Петропавловск;74;726785.71
Лапа Bourgoult (Бурго) 310мм 47.938.001, аналог 200PWV1208 (Рубцовск);007298     ;Cклад Петропавловск;80;209182.65
Стойка сеялки СТС 6-12 Рубцовск;007299     ;Cклад Петропавловск;20;94023.07
Корпус подшипника 212 СКП Омичка без крышек (Россия);007300     ;Cклад Петропавловск;21;27216
Фильтр топливный ЯМЗ (металл. корпус с резьбой)(Специалист)(Кострома);007301     ;Cклад Петропавловск;15;15627.22
Сальник 70х92 заднего редуктора Камаз 864180-П;007302     ;Cклад Петропавловск;7;578.74
Сальник 45х64 КПП Камаз 14.1701230-01;007303     ;Cклад Петропавловск;20;534.78
Стойка сеялки СКП (Омичка) Рубцовск;007304     ;Cклад Петропавловск;11;48935.34
Втулка шатуна ПД-10 (под палец, бронз);007305     ;Cклад Петропавловск;4;988.88
Косилка навесная однобрусная (Бобруйскагромаш);007314     ;Cклад Петропавловск;31;3633291.76
Косилка навесная однобрусная гидрофицированная /красная/ (Россия);007337     ;Cклад Петропавловск;3;407253.11
Коллектор выпускной МТЗ с двиг.Д-245 (Беларусь);007393     ;Cклад Петропавловск;1;14418.61
Корпус вилок (КПП синхронизированная) МТЗ-900 (ОАО МТЗ);007395     ;Cклад Петропавловск;1;45818.54
Маслопровод компрессора Д-260 (240-3509150-02)(L-110mm)(ОАО ММЗ);007408     ;Cклад Петропавловск;3;3126.6
Вкладыши  коренные ЯМЗ-236 (Р2) Мелитополь;007432     ;Cклад Петропавловск;1;2348.71
Вкладыши  коренные ЯМЗ-236 (Р3) Мелитополь;007433     ;Cклад Петропавловск;1;2348.71
6700 УВ Ремень задн. контпривода Вектор (РСМ 6201260) (Ярославль Премиум);007454     ;Cклад Петропавловск;4;22497.14
3150 - УВ Ремень приводной Вектор (РСМ 6201271) (Ярославль Премиум);007456     ;Cклад Петропавловск;3;6892.71
Крестовина кардана передн. моста МТЗ-82 /К13.072-01/ (РЗКВ);010908     ;Cклад Петропавловск;6;10704.72
Фара передняя К-700/701, ГАЗ, ПАЗ (62.3711-23) (металл) 12В/805мм провод.;012402     ;Cклад Петропавловск;4;9361.01
Муфта разрывная кл. 32 ДТ (AGROIMPULS) нов. обр. универсал;008011     ;Cклад Петропавловск;22;38050.77
РВД  ключ 41  L=1,0 м. (г.Курск) 2-х оплет.;008095     ;Cклад Петропавловск;3;4525.57
Лента свальн. жатки ЖВП-6 широкая L=9,4м (Украина);009237     ;Cклад Петропавловск;1;47390.49
Шайба текстолитовая привода ТНВД ЯМЗ-240 /ЯЗТО/;010787     ;Cклад Петропавловск;5;12254.06
Гидроцилиндр поворота выгрузного шнека Вектор/Акрос DIN.(ЦХБ063/040/0500/01.01)(Омск);010692     ;Cклад Петропавловск;1;23624.16
Трубка ТНВД ЯМЗ-236/238 (1200мм);011184     ;Cклад Петропавловск;8;11556.41
Борт верхнего решетного стана правый Палессе-1218/Еssil-760 (Гомсельмаш);010245     ;Cклад Петропавловск;1;36597.29
7517АК Подшипник (8.8260) (ПАО Автодизель-ЯМЗ);011416     ;Cклад Петропавловск;4;16933.06
